dia;preco
01/01/2023;8.4
02/01/2023;8.41
03/01/2023;8.41
04/01/2023;8.41
05/01/2023;8.41
06/01/2023;8.41
07/01/2023;8.41
08/01/2023;8.41
09/01/2023;8.4
10/01/2023;8.4
11/01/2023;8.4
12/01/2023;8.4
13/01/2023;8.4
14/01/2023;8.4
15/01/2023;8.4
16/01/2023;8.39
17/01/2023;8.39
18/01/2023;8.39
19/01/2023;8.39
20/01/2023;8.39
21/01/2023;8.39
22/01/2023;8.39
23/01/2023;8.39
24/01/2023;8.39
25/01/2023;8.39
26/01/2023;8.39
27/01/2023;8.39
28/01/2023;8.39
29/01/2023;8.41
30/01/2023;8.41
31/01/2023;8.41
01/02/2023;8.41
02/02/2023;8.41
03/02/2023;8.41
04/02/2023;8.41
05/02/2023;8.41
06/02/2023;8.41
07/02/2023;8.47
08/02/2023;8.47
09/02/2023;8.47
10/02/2023;8.47
11/02/2023;8.47
12/02/2023;8.47
13/02/2023;8.47
14/02/2023;8.47
15/02/2023;8.47
16/02/2023;8.47
17/02/2023;8.47
18/02/2023;8.55
19/02/2023;8.55
20/02/2023;8.55
21/02/2023;8.55
22/02/2023;8.58
23/02/2023;8.58
24/02/2023;8.58
25/02/2023;8.58
26/02/2023;8.58
27/02/2023;8.62
28/02/2023;8.62
01/03/2023;8.62
02/03/2023;8.62
03/03/2023;8.62
04/03/2023;8.62
05/03/2023;8.62
06/03/2023;8.72
07/03/2023;8.72
08/03/2023;8.72
09/03/2023;8.72
10/03/2023;8.72
11/03/2023;8.72
12/03/2023;8.72
13/03/2023;8.83
14/03/2023;8.83
15/03/2023;8.83
16/03/2023;8.83
17/03/2023;8.83
18/03/2023;8.83
19/03/2023;8.83
20/03/2023;8.83
21/03/2023;8.97
22/03/2023;8.97
23/03/2023;8.97
24/03/2023;8.97
25/03/2023;8.97
26/03/2023;8.97
27/03/2023;9.1
28/03/2023;9.1
29/03/2023;9.1
30/03/2023;9.1
31/03/2023;9.1
01/04/2023;9.1
02/04/2023;9.1
03/04/2023;9.22
04/04/2023;9.22
05/04/2023;9.22
06/04/2023;9.22
07/04/2023;9.22
08/04/2023;9.22
09/04/2023;9.22
10/04/2023;9.34
11/04/2023;9.34
12/04/2023;9.34
13/04/2023;9.34
14/04/2023;9.34
15/04/2023;9.34
16/04/2023;9.34
17/04/2023;9.34
18/04/2023;9.34
19/04/2023;9.34
20/04/2023;9.34
21/04/2023;9.34
22/04/2023;9.34
23/04/2023;9.34
24/04/2023;9.3
25/04/2023;9.3
26/04/2023;9.3
27/04/2023;9.3
28/04/2023;9.3
29/04/2023;9.3
30/04/2023;9.3
01/05/2023;9.3
02/05/2023;9.3
03/05/2023;9.3
04/05/2023;9.3
05/05/2023;9.3
06/05/2023;9.3
07/05/2023;9.3
08/05/2023;9.31
09/05/2023;9.31
10/05/2023;9.31
11/05/2023;9.31
12/05/2023;9.31
13/05/2023;9.31
14/05/2023;9.31
15/05/2023;9.39
16/05/2023;9.39
17/05/2023;9.39
18/05/2023;9.39
19/05/2023;9.39
20/05/2023;9.39
21/05/2023;9.39
22/05/2023;9.39
23/05/2023;9.45
24/05/2023;9.45
25/05/2023;9.45
26/05/2023;9.45
27/05/2023;9.45
28/05/2023;9.45
29/05/2023;9.44
30/05/2023;9.44
31/05/2023;9.44
01/06/2023;9.44
02/06/2023;9.44
03/06/2023;9.44
04/06/2023;9.44
05/06/2023;9.42
06/06/2023;9.42
07/06/2023;9.42
08/06/2023;9.42
09/06/2023;9.42
10/06/2023;9.42
11/06/2023;9.42
12/06/2023;9.38
13/06/2023;9.38
14/06/2023;9.38
15/06/2023;9.38
16/06/2023;9.38
17/06/2023;9.38
18/06/2023;9.38
19/06/2023;9.38
20/06/2023;9.38
21/06/2023;9.38
22/06/2023;9.38
23/06/2023;9.38
24/06/2023;9.38
25/06/2023;9.38
26/06/2023;9.36
27/06/2023;9.36
28/06/2023;9.36
29/06/2023;9.36
30/06/2023;9.36
01/07/2023;9.36
02/07/2023;9.36
03/07/2023;9.32
04/07/2023;9.32
05/07/2023;9.32
06/07/2023;9.32
07/07/2023;9.32
08/07/2023;9.32
09/07/2023;9.32
10/07/2023;9.32
11/07/2023;9.31
12/07/2023;9.31
13/07/2023;9.31
14/07/2023;9.31
15/07/2023;9.31
16/07/2023;9.31
17/07/2023;9.3
18/07/2023;9.3
19/07/2023;9.3
20/07/2023;9.3
21/07/2023;9.3
22/07/2023;9.3
23/07/2023;9.3
24/07/2023;9.3
25/07/2023;9.3
26/07/2023;9.3
27/07/2023;9.3
28/07/2023;9.3
29/07/2023;9.3
30/07/2023;9.3
31/07/2023;9.26
01/08/2023;9.26
02/08/2023;9.26
03/08/2023;9.26
04/08/2023;9.26
05/08/2023;9.26
06/08/2023;9.26
07/08/2023;9.33
08/08/2023;9.33
09/08/2023;9.33
10/08/2023;9.33
11/08/2023;9.33
12/08/2023;9.33
13/08/2023;9.33
14/08/2023;9.33
15/08/2023;9.33
16/08/2023;9.33
17/08/2023;9.33
18/08/2023;9.33
19/08/2023;9.33
20/08/2023;9.33
21/08/2023;9.31
22/08/2023;9.31
23/08/2023;9.31
24/08/2023;9.31
25/08/2023;9.31
26/08/2023;9.33
27/08/2023;9.33
28/08/2023;9.33
29/08/2023;9.33
30/08/2023;9.33
31/08/2023;9.32
01/09/2023;9.32
02/09/2023;9.32
03/09/2023;9.32
04/09/2023;9.32
05/09/2023;9.31
06/09/2023;9.31
07/09/2023;9.31
08/09/2023;9.32
09/09/2023;9.32
10/09/2023;9.32
11/09/2023;9.32
12/09/2023;9.33
13/09/2023;9.33
14/09/2023;9.32
15/09/2023;9.32
16/09/2023;9.32
17/09/2023;9.32
18/09/2023;9.32
