"AGENCY 0","DATA 0","DATA TYPE 0","LOCATION 0","LOCATION TYPE 0","SOURCE 0","SOURCE TYPE 0","SUBJECT 0","TIME 0","TIME TYPE 0"
"National Centers for Environmental Information","19.90000000000","STRING","Haines","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","49.00000000000","STRING","Pulaski","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","64.20000000000","STRING","Charlton","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","28.80000000000","STRING","Kit Carson","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","24.80000000000","STRING","Phillips","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","1.80000000000","STRING","Southeast Fairbanks","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","50.10000000000","STRING","Lee","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","19.40000000000","STRING","Pitkin","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","7.00000000000","STRING","Denali","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","48.40000000000","STRING","Woodruff","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","44.60000000000","STRING","Butte","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","31.30000000000","STRING","Sierra","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","62.60000000000","STRING","Hamilton","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","54.40000000000","STRING","Jefferson","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","21.00000000000","STRING","Juneau","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","68.40000000000","STRING","Lake","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","70.90000000000","STRING","Okeechobee","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
"National Centers for Environmental Information","29.80000000000","STRING","Douglas","COUNTY","https://www.ncei.noaa.gov/pub/data/cirs/climdiv/climdiv-norm-pcpncy-v1.0.0-20230306","URL","Average temperature for the selected month in Fahrenheit","2023-02","ISO_DATE"
