CEP;CIDADE;BAIRRO;RUA;ESTADO
69067142;Manaus;Petrópolis;Rua Alberto Gomes;AM
69104184;Itacoatiara;Jauari I;Beco do Moura;AM
69063612;Manaus;Petrópolis;Beco Coronel Conrado Niemeyer;AM
69063521;Manaus;Petrópolis;Beco Sucuri;AM
69860970;Pauini;Centro;Estrada PNI, 465 ;AM
69401263;Manacapuru;Terra Preta;Rua 2;AM
69015348;Manaus;Colônia Terra Nova;Rua Rio Oxus;AM
69400707;Manacapuru;São José;Rua Waldemar Ventura - de 1002 a 2540 - lado par;AM
68372235;Altamira;Jardim Independente II;Avenida João Pessoa - de 2097/2098 ao fim;PA
66030135;Belém;Jurunas;Passagem Esperança;PA
68045033;Santarém;Jutaí;Travessa Princesa Isabel;PA
66075050;Belém;Guamá;Travessa Barão de Mamoré - de 806/807 ao fim;PA
66095784;Belém;Marco;Avenida Perimetral - de 377/378 a 750/751;PA
67125886;Ananindeua;Icuí-Guajará;Quadra Quarenta e Nove (Conjunto Uirapuru);PA
68700526;Capanema;Oliveira Brito;Rua Projetada V;PA
68180110;Itaituba;Comércio;Avenida Governador Fernando Guilhon;PA
66920650;Belém;São Francisco (Mosqueiro);Avenida Casemiro de Abreu;PA
66026438;Belém;Jurunas;Vila Heloísa;PA
68625540;Paragominas;Célio Miranda;Rua Paulo VI;PA
40295310;Salvador;Horto Florestal;Parque Florestal;BA
40713026;Salvador;Itacaranha;1ª Travessa Mabaço de Baixo;BA
41291285;Salvador;Pirajá;Rua Rio Humaitá;BA
41152150;Salvador;Resgate;Rua dos Bem-te-vis;BA
41321500;Salvador;Castelo Branco;Rua Jorge Amado;BA
40366240;Salvador;Curuzu;Rua Cyrilo Gonçalves de Oliveira;BA
40800230;Salvador;São Tomé;Rua São José;BA
44088372;Feira de Santana;Brasília;3ª Travessa Rio Itapemirim;BA
65302040;Santa Inês;Aeroporto;Avenida Luís Barros Elouf;MA
65093204;São Luís;Coqueiro;Rua Campo Novo;MA
65631080;Timon;Parque Piauí;Rua João Joca Assunção - até 1060/1061;MA
65010570;São Luís;Centro;Rua Rio de Janeiro;MA
65093126;São Luís;Vila Samara;Travessa São Benedito;MA
65010500;São Luís;Centro;Beco da Prensa;MA
65385970;São João do Carú;Centro;Rua do Comércio, s/n ;MA
65095373;São Luís;Tibirizinho;Rua São Francisco (Vl Cruzado);MA
65631970;Timon;Parque Piauí;Avenida Francisco Carlos Jansen, 1090 ;MA
65090269;São Luís;Distrito Industrial;Rua Dezoito;MA
25965070;Teresópolis;Barra do Imbuí;Rua Boaventura Thomas Fagundes;RJ
23092082;Rio de Janeiro;Campo Grande;Rua Dois (Lot Silvestre II);RJ
25902728;Magé;Citrolândia;Rodovia Santos Dumont;RJ
27520000;Resende;Manejo;Rua General Ernesto de Oliveira;RJ
28070515;Campos dos Goytacazes;Parque Guarus;Rua Cabo Frio;RJ
23020710;Rio de Janeiro;Guaratiba;Caminho da Matriz;RJ
6404020;Barueri;Vila Sargento José de Paula;Rua Napoleão Berzaghi;SP
6433230;Barueri;Jardim Alberto/Silveira;Rua Rogélio Cabeza Castro;SP
6705050;Cotia;Jardim Caiapiá;Estrada Manoel Lages do Chao;SP
8553310;Poá;Jardim Violeta;Rua Diadema;SP
15086820;São José do Rio Preto;Residencial Vista Alegre II e III (Zona Rural);Rua Pica-pau;SP
2218200;São Paulo;Vila Medeiros;Travessa B;SP
12051381;Taubaté;Parque Aeroporto;Avenida Willy Conrado Bohlen (Barranco);SP
87720120;Paranavaí;Distrito Industrial (Sumaré);Rua Frei Rafael Mainka;PR
90830551;Porto Alegre;Santa Tereza;Acesso S (Vl Cruzeiro do Sul);RS
99700264;Erechim;Centro;Rua Espírito Santo - de 600 a 1078 - lado par;RS
71676165;Brasília;Setor de Habitações Individuais Sul;SHDB QL 32 Conjunto 13 (Cond Villages Alvorada);DF
74395255;Goiânia;Residencial Kátia;Rua Agenor Alves de Oliveira;GO
